Country,Year,Status,Adult_Mortality,Alcohol,Hepatitis_B,Measles,BMI,Under-Five_Deaths,Polio,Total_Expenditure,Diphtheria,HIV/AIDS,GDP,Population,Thinness__1-19_Years,Income_Composition_Of_Resources,Schooling,Smoking_Rate
Afghanistan,2000.0,0.0,321.0,0.01,62.0,6532.0,12.2,122.0,24.0,8.2,24.0,0.1,114.56,293756.0,2.3,0.338,5.5,39.2
Afghanistan,2001.0,0.0,316.0,0.01,63.0,8762.0,12.6,122.0,35.0,7.8,33.0,0.1,117.49698,2966463.0,2.1,0.34,5.9,38.2
Afghanistan,2002.0,0.0,3.0,0.01,64.0,2486.0,13.0,122.0,36.0,7.76,36.0,0.1,187.84595,21979923.0,19.9,0.341,6.2,37.2
Afghanistan,2003.0,0.0,295.0,0.01,65.0,798.0,13.4,122.0,41.0,8.82,41.0,0.1,198.7285436,2364851.0,19.7,0.373,6.5,36.2
Afghanistan,2004.0,0.0,293.0,0.02,67.0,466.0,13.8,120.0,5.0,8.79,5.0,0.1,219.1413528,24118979.0,19.5,0.381,6.8,35.2
Afghanistan,2005.0,0.0,291.0,0.02,66.0,1296.0,14.2,118.0,58.0,8.7,58.0,0.1,25.2941299,257798.0,19.3,0.396,7.9,34.2
Afghanistan,2006.0,0.0,295.0,0.03,64.0,1990.0,14.7,116.0,58.0,7.43,58.0,0.1,272.56377,2589345.0,19.2,0.405,8.1,33.35
Afghanistan,2007.0,0.0,295.0,0.02,63.0,1141.0,15.2,113.0,63.0,6.73,63.0,0.1,369.835796,26616792.0,19.0,0.415,8.4,32.5
Afghanistan,2008.0,0.0,287.0,0.03,64.0,1599.0,15.7,110.0,64.0,8.33,64.0,0.1,373.3611163,2729431.0,18.8,0.433,8.7,31.73333333333333
Afghanistan,2009.0,0.0,281.0,0.01,63.0,2861.0,16.2,106.0,63.0,9.0,63.0,0.1,445.8932979,284331.0,18.6,0.434,8.9,30.966666666666665
Afghanistan,2010.0,0.0,279.0,0.01,66.0,1989.0,16.7,102.0,66.0,9.0,66.0,0.1,553.32894,2883167.0,18.4,0.448,9.2,30.2
Afghanistan,2011.0,0.0,275.0,0.01,68.0,3013.0,17.2,97.0,68.0,7.87,68.0,0.1,63.537231,2978599.0,18.2,0.454,9.5,29.48
Afghanistan,2012.0,0.0,272.0,0.01,67.0,2787.0,17.6,93.0,67.0,8.52,67.0,0.1,669.959,3696958.0,17.9,0.463,9.8,28.76
Afghanistan,2013.0,0.0,268.0,0.01,64.0,430.0,18.1,89.0,62.0,8.13,64.0,0.1,631.744976,31731688.0,17.7,0.47,9.9,28.04
Afghanistan,2014.0,0.0,271.0,0.01,62.0,492.0,18.6,86.0,58.0,8.18,62.0,0.1,612.696514,327582.0,17.5,0.476,10.0,27.32
Afghanistan,2015.0,0.0,263.0,0.01,65.0,1154.0,19.1,83.0,6.0,8.16,65.0,0.1,584.25921,33736494.0,17.2,0.479,10.1,26.6
Albania,2000.0,0.0,11.0,3.66,96.0,662.0,45.0,1.0,97.0,6.26,97.0,0.1,1175.788981,38927.0,2.1,0.656,10.7,35.4
Albania,2001.0,0.0,14.0,4.25,96.0,18.0,46.0,1.0,97.0,6.0,97.0,0.1,1326.97339,36173.0,2.1,0.662,10.6,34.64
Albania,2002.0,0.0,15.0,3.73,96.0,16.0,46.9,1.0,98.0,6.3,98.0,0.1,1453.642777,3511.0,2.0,0.67,10.7,33.88
Albania,2003.0,0.0,18.0,4.29,97.0,8.0,47.9,1.0,97.0,6.27,97.0,0.1,189.681557,339616.0,1.9,0.674,10.7,33.12
Albania,2004.0,0.0,17.0,4.54,99.0,7.0,48.9,1.0,98.0,6.38,97.0,0.1,2416.588235,326939.0,1.8,0.681,10.9,32.36
Albania,2005.0,0.0,15.0,5.16,98.0,6.0,49.9,1.0,97.0,6.12,98.0,0.1,279.142931,311487.0,1.8,0.685,10.8,31.6
Albania,2006.0,0.0,99.0,5.31,98.0,68.0,5.8,1.0,97.0,5.86,97.0,0.1,35.1293,2992547.0,1.7,0.696,11.4,30.9
Albania,2007.0,0.0,9.0,5.58,98.0,22.0,51.7,1.0,99.0,6.1,98.0,0.1,363.13685,29717.0,1.6,0.703,11.6,30.2
Albania,2008.0,0.0,1.0,5.61,99.0,0.0,52.6,1.0,99.0,5.87,99.0,0.1,437.539647,2947314.0,1.6,0.713,12.0,29.566666666666663
Albania,2009.0,0.0,91.0,5.79,98.0,0.0,53.5,1.0,98.0,5.79,98.0,0.1,4114.136545,2927519.0,1.5,0.721,12.2,28.933333333333334
Albania,2010.0,0.0,91.0,5.28,99.0,10.0,54.3,1.0,99.0,5.34,99.0,0.1,494.358832,291321.0,1.4,0.725,12.5,28.3
Albania,2011.0,0.0,88.0,5.37,99.0,28.0,55.1,1.0,99.0,5.71,99.0,0.1,4437.17868,295195.0,1.4,0.738,13.3,27.72
Albania,2012.0,0.0,86.0,5.14,99.0,9.0,55.8,1.0,99.0,5.59,99.0,0.1,4247.61438,2941.0,1.3,0.752,14.2,27.14
Albania,2013.0,0.0,84.0,4.76,99.0,0.0,56.5,1.0,99.0,5.66,99.0,0.1,4414.72314,289592.0,1.3,0.759,14.2,26.56
Albania,2014.0,0.0,8.0,4.51,98.0,0.0,57.2,1.0,98.0,5.88,98.0,0.1,4575.763787,288914.0,1.2,0.761,14.2,25.98
Albania,2015.0,0.0,74.0,4.6,99.0,0.0,58.0,0.0,99.0,6.0,99.0,0.1,3954.22783,28873.0,1.2,0.762,14.2,25.4
Algeria,2000.0,0.0,145.0,0.25,93.6,0.0,44.4,25.0,86.0,3.49,86.0,0.1,1757.17797,3118366.0,6.5,0.636,10.7,22.9
Algeria,2001.0,0.0,145.0,0.23,67.8,2686.0,45.3,24.0,89.0,3.84,89.0,0.1,1732.857979,31592153.0,6.4,0.644,10.9,22.78
Algeria,2002.0,0.0,145.0,0.36,31.2,5862.0,46.1,23.0,86.0,3.73,86.0,0.1,1774.33673,3199546.0,6.3,0.653,11.1,22.66
